sep=,
"0","Shadowmoor","Chainbreaker","2","0","147419"
"1","Shadowmoor","Wingrattle Scarecrow","8","0","151633"
"2","Shadowmoor","Gnarled Effigy","4","0","146015"
"3","Shadowmoor","Leech Bonder","3","0","147406"
"4","Shadowmoor","Inkfathom Infiltrator","2","0","154401"
"5","Shadowmoor","River's Grasp","3","0","158755"
"6","Shadowmoor","Fate Transfer","3","0","147411"
"7","Shadowmoor","Wasp Lancer","4","0","153967"
"8","Shadowmoor","Helm of the Ghastlord","4","0","158769"
"9","Shadowmoor","Inkfathom Witch","1","0","157879"
"10","Shadowmoor","Gravelgill Axeshark","10","0","141935"
"11","Shadowmoor","Biting Tether","1","0","135485"
"12","Shadowmoor","Sickle Ripper","6","0","154010"
"13","Shadowmoor","Wanderbrine Rootcutters","5","0","142012"
"14","Shadowmoor","Grim Poppet","2","0","146739"
"15","Shadowmoor","Loch Korrigan","3","0","147414"
"16","Shadowmoor","Scarscale Ritual","7","0","154396"
"17","Shadowmoor","Incremental Blight","2","0","147433"
"18","Shadowmoor","Trip Noose","3","1","147420"
"19","Shadowmoor","River Kelpie","3","0","146094"
"20","Shadowmoor","Gloomlance","4","0","158757"
"21","Shadowmoor","Oona's Gatewarden","7","0","141975"
"22","Shadowmoor","Torture","3","0","142070"
"23","Shadowmoor","Faerie Macabre","6","0","153964"
"24","Shadowmoor","Sapseep Forest","4","0","142048"
"25","Shadowmoor","Revelsong Horn","2","0","146047"
"26","Shadowmoor","Toil to Renown","2","0","159410"
"27","Shadowmoor","Mercy Killing","3","0","158771"
"28","Shadowmoor","Old Ghastbark","7","0","142007"
"29","Shadowmoor","Gleeful Sabotage","6","0","158681"
"30","Shadowmoor","Rhys the Redeemed","1","0","147393"
"31","Shadowmoor","Wilt-Leaf Cavaliers","2","0","153962"
"32","Shadowmoor","Safehold Sentry","3","0","147394"
"33","Shadowmoor","Pili-Pala","6","0","147381"
"34","Shadowmoor","Presence of Gond","5","0","158768"
"35","Shadowmoor","Shield of the Oversoul","4","0","158762"
"36","Shadowmoor","Drove of Elves","3","0","157878"
"37","Shadowmoor","Safehold Duo","6","0","153963"
"38","Shadowmoor","Barrenton Medic","4","0","135451"
"39","Shadowmoor","Pale Wayfarer","3","0","153310"
"40","Shadowmoor","Seedcradle Witch","5","0","157872"
"41","Shadowmoor","Devoted Druid","10","0","135500"
"42","Shadowmoor","Barkshell Blessing","4","0","158772"
"43","Shadowmoor","Resplendent Mentor","1","1","141930"
"44","Shadowmoor","Gloomwidow's Feast","5","0","154394"
"45","Shadowmoor","Elvish Hexhunter","7","0","141958"
"46","Shadowmoor","Dawnglow Infusion","1","0","158747"
"47","Shadowmoor","Umbral Mantle","4","0","153317"
"48","Shadowmoor","Strip Bare","8","0","159409"
"49","Lorwyn","Goldmeadow Harrier","3","0","139397"
"50","Morningtide","Cenn's Tactician","5","0","152878"
"51","Morningtide","Mosquito Guard","6","0","152585"
"52","Morningtide","Coordinated Barrage","6","0","153151"
"53","Morningtide","Daily Regimen","3","0","152838"
"54","Lorwyn","Goldmeadow Dodger","1","0","142356"
"55","Lorwyn","Shields of Velis Vel","2","0","139411"
"56","Lorwyn","Goldmeadow Stalwart","4","0","139698"
"57","Shadowmoor","Niveous Wisps","5","0","158694"
"58","Shadowmoor","Goldenglow Moth","3","0","159413"
"59","Lorwyn","Burrenton Forge-Tender","4","0","139395"
"60","Tenth Edition","Holy Strength","1","0","129594"
"61","Shadowmoor","Mistmeadow Skulk","4","0","158690"
"62","Shadowmoor","Inquisitor's Snare","6","0","158765"
"63","Eventide","Kithkin Zealot","9","0","154346"
"64","Shadowmoor","Kithkin Shielddare","6","0","158238"
"65","Morningtide","Ballyrush Banneret","9","0","152623"
"66","Lorwyn","Kithkin Greatheart","6","0","146444"
"67","Morningtide","Order of the Golden Cricket","6","0","153463"
"68","Morningtide","Shinewend","7","0","152659"
