"1","Shadowmoor","Chainbreaker","2","0"
"2","Shadowmoor","Wingrattle Scarecrow","8","0"
"3","Shadowmoor","Gnarled Effigy","4","0"
"4","Shadowmoor","Leech Bonder","3","0"
"5","Shadowmoor","Inkfathom Infiltrator","2","0"
"6","Shadowmoor","River's Grasp","3","0"
"7","Shadowmoor","Fate Transfer","3","0"
"8","Shadowmoor","Wasp Lancer","4","0"
"9","Shadowmoor","Helm of the Ghastlord","4","0"
"10","Shadowmoor","Inkfathom Witch","1","0"
"11","Shadowmoor","Gravelgill Axeshark","10","0"
"12","Shadowmoor","Biting Tether","1","0"
"13","Shadowmoor","Sickle Ripper","6","0"
"14","Shadowmoor","Wanderbrine Rootcutters","5","0"
"15","Shadowmoor","Grim Poppet","2","0"
"16","Shadowmoor","Loch Korrigan","3","0"
"17","Shadowmoor","Scarscale Ritual","7","0"
"18","Shadowmoor","Incremental Blight","2","0"
"19","Shadowmoor","Trip Noose","3","1"
"20","Shadowmoor","River Kelpie","3","0"
"21","Shadowmoor","Gloomlance","4","0"
"22","Shadowmoor","Oona's Gatewarden","7","0"
"23","Shadowmoor","Torture","3","0"
"24","Shadowmoor","Faerie Macabre","6","0"
"25","Shadowmoor","Sapseep Forest","4","0"
"26","Shadowmoor","Revelsong Horn","2","0"
"27","Shadowmoor","Toil to Renown","2","0"
"28","Shadowmoor","Mercy Killing","3","0"
"29","Shadowmoor","Old Ghastbark","7","0"
"30","Shadowmoor","Gleeful Sabotage","6","0"
"31","Shadowmoor","Rhys the Redeemed","1","0"
"32","Shadowmoor","Wilt-Leaf Cavaliers","2","0"
"33","Shadowmoor","Safehold Sentry","3","0"
"34","Shadowmoor","Pili-Pala","6","0"
"35","Shadowmoor","Presence of Gond","5","0"
"36","Shadowmoor","Shield of the Oversoul","4","0"
"37","Shadowmoor","Drove of Elves","3","0"
"38","Shadowmoor","Safehold Duo","6","0"
"39","Shadowmoor","Barrenton Medic","4","0"
"40","Shadowmoor","Pale Wayfarer","3","0"
"41","Shadowmoor","Seedcradle Witch","5","0"
"42","Shadowmoor","Devoted Druid","10","0"
"43","Shadowmoor","Barkshell Blessing","4","0"
"44","Shadowmoor","Resplendent Mentor","1","1"
"45","Shadowmoor","Gloomwidow's Feast","5","0"
"46","Shadowmoor","Elvish Hexhunter","7","0"
"47","Shadowmoor","Dawnglow Infusion","1","0"
"48","Shadowmoor","Umbral Mantle","4","0"
"49","Shadowmoor","Strip Bare","8","0"
"50","Lorwyn","Goldmeadow Harrier","3","0"
"51","Morningtide","Cenn's Tactician","5","0"
"52","Morningtide","Mosquito Guard","6","0"
"53","Morningtide","Coordinated Barrage","6","0"
"54","Morningtide","Daily Regimen","3","0"
"55","Lorwyn","Goldmeadow Dodger","1","0"
"56","Lorwyn","Shields of Velis Vel","2","0"
"57","Lorwyn","Goldmeadow Stalwart","4","0"
"58","Shadowmoor","Niveous Wisps","5","0"
"59","Shadowmoor","Goldenglow Moth","3","0"
"60","Lorwyn","Burrenton Forge-Tender","4","0"
"61","Tenth Edition","Holy Strength","1","0"
"62","Shadowmoor","Mistmeadow Skulk","4","0"
